,county,state,population,dc,obs_dr,pred_dr,pred_dc,pred_dr_err_low,pred_dr_err_upp,pred_dc_err_low,pred_dc_err_upp
0,Autauga,AL,34222,3.0,0.8766290690199287,2.899085e-05,10.0,1.8796e-05,3.82358e-05,4.0,16.0
1,Baldwin,AL,98280,22.0,2.238502238502239,2.934545e-05,29.0,2.2308e-05,3.75625e-05,16.0,39.0
2,Barbour,AL,25417,1.0,0.3934374631152378,3.01191e-05,8.0,1.93642e-05,4.1452e-05,3.0,13.0
3,Bibb,AL,16576,1.0,0.6032818532818532,3.457805e-05,6.0,2.27393e-05,4.82415e-05,2.0,10.0
4,Blount,AL,39248,8.0,2.0383204239706485,3.362205e-05,13.0,2.39232e-05,4.46314e-05,6.0,20.0
5,Bullock,AL,11042,0.0,0.0,3.668115e-05,4.0,2.33899e-05,5.01812e-05,0.0,7.0
6,Butler,AL,21892,1.0,0.4567878677142335,3.168455e-05,7.0,1.94515e-05,4.32344e-05,1.0,11.0
7,Calhoun,AL,116034,21.0,1.809814364755158,2.55883e-05,29.0,1.88994e-05,3.20846e-05,17.0,40.0
8,Chambers,AL,36876,7.0,1.8982536066818525,3.31197e-05,12.0,2.3048e-05,4.37461e-05,6.0,19.0
9,Cherokee,AL,19543,0.0,0.0,3.148365e-05,6.0,2.01232e-05,4.3143e-05,1.0,10.0
10,Chilton,AL,32458,5.0,1.5404522767884652,3.2617400000000004e-05,10.0,2.19162e-05,4.33881e-05,5.0,17.0
11,Choctaw,AL,16018,4.0,2.49719066050693,3.986405e-05,6.0,2.6449e-05,5.45653e-05,1.0,10.0
12,Clarke,AL,27240,4.0,1.4684287812041117,3.3428249999999996e-05,9.0,2.31411e-05,4.51219e-05,3.0,14.0
13,Clay,AL,13252,6.0,4.527618472683368,4.5369750000000004e-05,6.0,3.05826e-05,6.03496e-05,2.0,10.0
14,Cleburne,AL,12730,3.0,2.356637863315004,4.06353e-05,5.0,2.76821e-05,5.59672e-05,1.0,9.0
15,Coffee,AL,40240,7.0,1.739562624254473,3.19333e-05,13.0,2.23814e-05,4.24692e-05,5.0,19.0
16,Colbert,AL,51666,9.0,1.7419579607478808,3.006865e-05,15.0,2.06982e-05,3.93071e-05,7.0,23.0
17,Conecuh,AL,14054,4.0,2.8461647929415115,4.152495e-05,6.0,2.85917e-05,5.52736e-05,2.0,10.0
18,Coosa,AL,11063,3.0,2.711741842176625,4.19128e-05,4.0,2.82783e-05,5.74833e-05,1.0,8.0
19,Covington,AL,36478,7.0,1.91896485552936,3.36314e-05,12.0,2.33349e-05,4.34996e-05,6.0,19.0
20,Crenshaw,AL,13635,1.0,0.7334066740007334,3.62522e-05,5.0,2.25981e-05,4.87938e-05,0.0,8.0
21,Cullman,AL,67613,17.0,2.5143093783739814,3.28769e-05,22.0,2.43548e-05,4.20829e-05,12.0,31.0
22,Dale,AL,49633,3.0,0.604436564382568,2.42575e-05,12.0,1.63721e-05,3.25117e-05,4.0,18.0
23,Dallas,AL,48130,5.0,1.0388531061707875,2.68242e-05,13.0,1.82441e-05,3.60646e-05,6.0,20.0
24,Dekalb,AL,54651,0.0,0.0,1.9939549999999998e-05,11.0,1.30251e-05,2.77226e-05,4.0,17.0
25,Elmore,AL,49210,4.0,0.8128429181060761,2.560225e-05,13.0,1.72622e-05,3.44139e-05,5.0,19.0
26,Escambia,AL,35518,10.0,2.815473844247987,3.7654299999999996e-05,13.0,2.56104e-05,4.86335e-05,6.0,20.0
27,Etowah,AL,99840,17.0,1.7027243589743588,2.53996e-05,25.0,1.83972e-05,3.22514e-05,15.0,36.0
28,Fayette,AL,17962,4.0,2.2269235051775973,3.85544e-05,7.0,2.51437e-05,5.20137e-05,2.0,11.0
29,Franklin,AL,27814,8.0,2.8762493708204504,3.8951050000000004e-05,11.0,2.6769e-05,5.0907e-05,5.0,17.0
30,Geneva,AL,23647,7.0,2.9602063686725586,3.9975700000000004e-05,9.0,2.7495e-05,5.25903e-05,4.0,15.0
31,Greene,AL,10153,0.0,0.0,3.7207549999999996e-05,4.0,2.43087e-05,5.22195e-05,1.0,7.0
32,Hale,AL,15498,0.0,0.0,3.3656000000000004e-05,5.0,2.23963e-05,4.74321e-05,1.0,9.0
33,Henry,AL,15374,1.0,0.6504488096786784,3.54733e-05,5.0,2.38508e-05,4.9899e-05,1.0,9.0
34,Houston,AL,81331,10.0,1.2295434705094,2.378975e-05,19.0,1.69551e-05,3.12353e-05,9.0,27.0
35,Jackson,AL,47796,13.0,2.71989287806511,3.593025e-05,17.0,2.51316e-05,4.61034e-05,9.0,25.0
36,Jefferson,AL,651525,111.0,1.7036951767008173,1.87489e-05,123.0,1.61019e-05,2.14809e-05,94.0,145.0
37,Lamar,AL,15715,6.0,3.818008272351257,4.365165e-05,7.0,2.83307e-05,5.74911e-05,2.0,11.0
38,Lauderdale,AL,79661,13.0,1.6319152408330302,2.67235e-05,21.0,1.97729e-05,3.48618e-05,11.0,30.0
39,Lawrence,AL,31513,6.0,1.9039761368324184,3.42848e-05,11.0,2.40956e-05,4.5969e-05,5.0,17.0
40,Lee,AL,87146,13.0,1.4917494778876828,2.480185e-05,21.5,1.7776e-05,3.23324e-05,11.0,31.0
41,Limestone,AL,54135,10.0,1.8472337674332688,3.04493e-05,16.0,2.09459e-05,3.91216e-05,8.0,24.0
42,Lowndes,AL,12658,0.0,0.0,3.50285e-05,4.0,2.2899e-05,4.91112e-05,1.0,8.0
43,Macon,AL,24928,2.0,0.8023106546854942,3.1753049999999996e-05,8.0,2.08239e-05,4.32227e-05,3.0,13.0
44,Madison,AL,238912,34.0,1.4231181355478169,1.88567e-05,45.0,1.47425e-05,2.32636e-05,31.0,61.0
